,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,S.N,Task,Assigned to,Start ,End,Duration,%,,2024,,,
,,,,,,,,,Jan,Feb,Mar,April
,,Gesture-Based Human computer Interation: Development of Gesture Mouse,,1/15/2024,2/24/2024,73,,,,,,
,,,,,,,,,,,,
,1,Choose a research projet topic,,1/15/2024,1/21/2024,5,,,,,,
,2,Define scope and objective,,1/21/2024,1/25/2024,4,,,,,,
,3,Present and finalize te project draft,,1/25/2024,2/10/2024,12,,,,,,
,4,Develop Initial projet plan,,2/10/2024,2/29/2024,14,,,,,,
,5,Conduct Literature review,,3/1/2024,3/18/2024,12,,,,,,
,6,Summarize relevant theories,,3/18/2024,3/23/2024,5,,,,,,
,7,Identify technological advancement in the field,,3/23/2024,3/25/2024,1,,,,,,
,8,Market Research,,3/25/2024,3/27/2024,3,,,,,,
,9,Summarize methodologies,,3/27/2024,3/31/2024,3,,,,,,
,10,Supervisor meeting,,4/1/2024,4/1/2024,1,,,,,,
,11,Artifact planning,,4/2/2024,4/8/2024,5,,,,,,
,12,Implement development of Gesture mouse,,4/8/2024,4/11/2024,4,,,,,,
,13,Incorporate collaborative filtering for human computer interation,,4/11/2024,4/14/2024,2,,,,,,
,14,Conduct iterative testing and refinement,,4/14/2024,4/18/2024,4,,,,,,
,15,Gather and alayze user feedbacks,,4/18/2024,4/20/2024,2,,,,,,
,16,Document the development process. Methodologies and findings,,4/20/2024,4/24/2024,3,,,,,,
